subject,section,passage_text,question_text,option_a,option_b,option_c,option_d,correct_option
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Great Wall of China is one of the most impressive architectural feats in history. Stretching over 13,000 miles, it was built over several centuries to protect the Chinese states from invasions by nomadic groups. The wall is made of various materials, including stone, brick, and tamped earth. It is not just a single continuous wall but a system of walls and fortifications. Today, it is a UNESCO World Heritage site and a major tourist attraction, attracting millions of visitors every year. However, parts of the wall are in danger due to erosion and human activity. Conservation efforts are underway to preserve this ancient monument for future generations. It remains a symbol of China's historical strength and perseverance.","Is the Great Wall a single continuous wall?","Yes, it is","No, it is a system of walls","It is a bridge","It is a tunnel","No, it is a system of walls"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Great Wall of China is one of the most impressive architectural feats in history. Stretching over 13,000 miles, it was built over several centuries to protect the Chinese states from invasions by nomadic groups. The wall is made of various materials, including stone, brick, and tamped earth. It is not just a single continuous wall but a system of walls and fortifications. Today, it is a UNESCO World Heritage site and a major tourist attraction, attracting millions of visitors every year. However, parts of the wall are in danger due to erosion and human activity. Conservation efforts are underway to preserve this ancient monument for future generations. It remains a symbol of China's historical strength and perseverance.","What is a current threat to the Great Wall?","Heavy rain only","Erosion and human activity","Lack of visitors","Modern wars","Erosion and human activity"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Great Wall of China is one of the most impressive architectural feats in history. Stretching over 13,000 miles, it was built over several centuries to protect the Chinese states from invasions by nomadic groups. The wall is made of various materials, including stone, brick, and tamped earth. It is not just a single continuous wall but a system of walls and fortifications. Today, it is a UNESCO World Heritage site and a major tourist attraction, attracting millions of visitors every year. However, parts of the wall are in danger due to erosion and human activity. Conservation efforts are underway to preserve this ancient monument for future generations. It remains a symbol of China's historical strength and perseverance.","What does the wall symbolize today?","Poverty","Strength and perseverance","The end of history","Modern architecture","Strength and perseverance"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Great Wall of China is one of the most impressive architectural feats in history. Stretching over 13,000 miles, it was built over several centuries to protect the Chinese states from invasions by nomadic groups. The wall is made of various materials, including stone, brick, and tamped earth. It is not just a single continuous wall but a system of walls and fortifications. Today, it is a UNESCO World Heritage site and a major tourist attraction, attracting millions of visitors every year. However, parts of the wall are in danger due to erosion and human activity. Conservation efforts are underway to preserve this ancient monument for future generations. It remains a symbol of China's historical strength and perseverance.","Who visits the wall today?","Only Chinese people","Millions of tourists","No one","Only historians","Millions of tourists"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Great Wall of China is one of the most impressive architectural feats in history. Stretching over 13,000 miles, it was built over several centuries to protect the Chinese states from invasions by nomadic groups. The wall is made of various materials, including stone, brick, and tamped earth. It is not just a single continuous wall but a system of walls and fortifications. Today, it is a UNESCO World Heritage site and a major tourist attraction, attracting millions of visitors every year. However, parts of the wall are in danger due to erosion and human activity. Conservation efforts are underway to preserve this ancient monument for future generations. It remains a symbol of China's historical strength and perseverance.","The word 'architectural' is related to:","Cooking","Building design","Music","Medicine","Building design"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Great Wall of China is one of the most impressive architectural feats in history. Stretching over 13,000 miles, it was built over several centuries to protect the Chinese states from invasions by nomadic groups. The wall is made of various materials, including stone, brick, and tamped earth. It is not just a single continuous wall but a system of walls and fortifications. Today, it is a UNESCO World Heritage site and a major tourist attraction, attracting millions of visitors every year. However, parts of the wall are in danger due to erosion and human activity. Conservation efforts are underway to preserve this ancient monument for future generations. It remains a symbol of China's historical strength and perseverance.","The Wall is now a ............. site.","Modern","UNESCO World Heritage","Private","Temporary","UNESCO World Heritage"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Great Wall of China is one of the most impressive architectural feats in history. Stretching over 13,000 miles, it was built over several centuries to protect the Chinese states from invasions by nomadic groups. The wall is made of various materials, including stone, brick, and tamped earth. It is not just a single continuous wall but a system of walls and fortifications. Today, it is a UNESCO World Heritage site and a major tourist attraction, attracting millions of visitors every year. However, parts of the wall are in danger due to erosion and human activity. Conservation efforts are underway to preserve this ancient monument for future generations. It remains a symbol of China's historical strength and perseverance.","How many visitors does it attract?","Hundreds","Thousands","Millions","Billions","Millions"
"اللغة الإنجليزية","القواعد (Grammar)","","If you ............. me, I would have helped you immediately.","ask","asked","had asked","have asked","had asked"
"اللغة الإنجليزية","القواعد (Grammar)","","He asked me where ............. for the last two hours.","I had been","had I been","I was","was I","I had been"
"اللغة الإنجليزية","القواعد (Grammar)","","The students ............. the exam by the time the bell rang.","finish","have finished","had finished","were finishing","had finished"
"اللغة الإنجليزية","القواعد (Grammar)","","This is the office ............. I first met my supervisor.","which","where","who","whose","where"
"اللغة الإنجليزية","القواعد (Grammar)","","Hardly ............. the room when the power went out.","I had entered","had I entered","I entered","was I entering","had I entered"
"اللغة الإنجليزية","القواعد (Grammar)","","You ............. your password to anyone for security reasons.","mustn't tell","don't have to tell","needn't tell","shouldn't have told","mustn't tell"
"اللغة الإنجليزية","القواعد (Grammar)","","The data ............. currently being processed by the server.","is","are","was","were","is"
"اللغة الإنجليزية","القواعد (Grammar)","","I look forward to ............. my research paper next month.","publish","publishing","published","publishes","publishing"
"اللغة الإنجليزية","القواعد (Grammar)","","Neither the professor nor his assistants ............. available today.","is","are","was","be","are"
"اللغة الإنجليزية","القواعد (Grammar)","","I wish I ............. more attention during the lecture yesterday.","pay","paid","had paid","have paid","had paid"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: How do you find the new software? B: .............","I found it on the desk","It's very user-friendly","I search for it","It's in the lab","It's very user-friendly"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: Would you mind helping me with this code? B: .............","Yes, I would","No, not at all","It is hard","Thank you","No, not at all"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: I'm afraid I won't be able to attend the seminar. B: .............","What a pity!","You're welcome","Congratulations","It's okay","What a pity!"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: Could you tell me where the IT department is? B: .............","It's very expensive","It's on the second floor","I have no computer","The department is closed","It's on the second floor"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: I've just been accepted for the Master's program! B: .............","That's terrible","Congratulations!","I'm sorry","Never mind","Congratulations!"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: What's your take on Artificial Intelligence? B: .............","I take it every day","I think it's the future","It is a machine","I don't like AI","I think it's the future"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: Sorry for being late for the meeting. B: .............","Don't worry about it","You are late","It is 10 AM","I am waiting","Don't worry about it"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: Shall we start the presentation? B: .............","Yes, we shall","That sounds like a plan","I don't like talking","The screen is off","That sounds like a plan"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: I really appreciate your guidance. B: .............","Anytime!","You are welcome","I appreciate it too","It's my duty","Anytime!"
"اللغة الإنجليزية","المحادثات (Conversations)","","A: What's the best way to back up my data? B: .............","The data is small","Using cloud storage is best","I like data","By car","Using cloud storage is best"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","What was the original name of the Internet?","World Wide Web","ARPANET","5G Network","Social Media","ARPANET"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","When did the Internet become accessible to the public?","1960s","1990s","2026","1980s","1990s"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","What is a major risk of global connectivity?","Slow internet speed","Cyberattacks and privacy violations","High cost of devices","Lack of information","Cyberattacks and privacy violations"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","What is essential for protecting sensitive information?","Bigger hard drives","Encryption and authentication","Social media accounts","Faster computers","Encryption and authentication"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","The word 'Revolutionized' most likely means:","Stayed the same","Changed completely","Made more expensive","Stopped working","Changed completely"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","What does 'IoT' stand for in the text?","Information of Technology","Internet of Things","Internal online Tools","Integrated online Tasks","Internet of Things"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","How many people use the Internet today?","Millions","Billions","Thousands","Hundreds","Billions"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","The future of the Internet is linked to:","Slower connections","5G and IoT","Less security","Fewer devices","5G and IoT"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","What does 'global connectivity' mean?","Connection within one city","Connection across the entire world","No connection at all","Connection only for the military","Connection across the entire world"
"اللغة الإنجليزية","القطع الخارجية (Reading)","The Internet has revolutionized the way we communicate and access information. It began as a military project in the 1960s called ARPANET, designed to allow computers to share data. By the 1990s, the World Wide Web was introduced, making the Internet accessible to the general public. Today, billions of people use the Internet for everything from social media to online banking and education. However, this global connectivity also brings risks, such as cyberattacks and privacy violations. As we become more dependent on digital systems, the importance of cybersecurity grows. Technologies like encryption and multi-factor authentication are essential for protecting sensitive information. The future of the Internet lies in faster speeds (5G) and more connected devices (IoT), which will continue to transform our daily lives and the global economy.","The Internet started as a ............. project.","Educational","Military","Commercial","Social","Military"
"اللغة الإنجليزية","القواعد (Grammar)","","They .......... gone to Brazil.","has","had","are","have","have"
"اللغة الإنجليزية","القواعد (Grammar)","","The boy......... lost his key yet.","haven't","hasnt","are","is","hasnt"
"اللغة الإنجليزية","القواعد (Grammar)","","I have ......... watched the movie.","Never","Always","Sometimes","Often","Never"
"اللغة الإنجليزية","القواعد (Grammar)","","............. In London?","Have you ever been","Has you ever been","Are you ever been","Do you ever be","Have you ever been"
"اللغة الإنجليزية","القواعد (Grammar)","","Ben is watching TV. He has been ........... TV since yesterday.","Watch","watching","watches","watched","watching"
"اللغة الإنجليزية","القواعد (Grammar)","","I've known her…………. a long time.","Since","For","Yet","Because","For"
"اللغة الإنجليزية","القواعد (Grammar)","","She has been living in Paris………… 2015.","Since","For","When","Been","Since"
"اللغة الإنجليزية","القواعد (Grammar)","","He has been working here…………. five years.","Since","For","Has","Have","For"
"اللغة الإنجليزية","القواعد (Grammar)","","I've been waiting here………. two hours.","Since","For","Has","Have","For"
"اللغة الإنجليزية","القواعد (Grammar)","","She has been teaching at this school……… 2010.","Since","For","Has","Have","Since"
"اللغة الإنجليزية","القواعد (Grammar)","","The company has been successful………….. many years.","Since","For","Has","Have","For"
"اللغة الإنجليزية","القواعد (Grammar)","","He…………. In New York for ten years before he moved to London.","lives","had lived","living","live","had lived"
"اللغة الإنجليزية","القواعد (Grammar)","","They ……………. the robbery several months before.","had planned","had plan","are planning","plans","had planned"
"اللغة الإنجليزية","القواعد (Grammar)","","………….. your exam?","You had prepared","Had prepared you","had you prepared","Has you prepared","had you prepared"
"اللغة الإنجليزية","القواعد (Grammar)","","………….her?","I will marry","will I marry","Will I marry","I am marry","Will I marry"
"اللغة الإنجليزية","القواعد (Grammar)","","What tense is used for future predictions?","Past Simple","Present Continuous","Future Simple","Past Perfect","Future Simple"
"اللغة الإنجليزية","القواعد (Grammar)","","What tense is used for actions that will happen in the future?","Past Simple","Future Simple","Present Simple","Past Continuous","Future Simple"
"اللغة الإنجليزية","القواعد (Grammar)","","Which tense is used to talk about plans or intentions for the future?","simple future","Future Continuous","Present Simple","present continuous","simple future"
"اللغة الإنجليزية","القواعد (Grammar)","","I ……….. go home tomorrow.","wont","won’t","wiln’t","am not","won’t"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: What are you doing at the league so late? Woman: Oh, I locked myself out of my room. What does the woman mean?","She looked her room","She can be seen from her room","She doesn't have the key to her room","She started out of her room","She doesn't have the key to her room"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: Not everyone has such a good friend. What do we learn from the conversation?","No one has a friend like Michael","Everyone is Michael's good friend","The man feels lucky to have Michael as a friend","The woman doesn't like his friends","The man feels lucky to have Michael as a friend"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: Will you be joining us later? Man: I need to catch up on the work I missed. What can be said about the man?","He wants to join the others","He will catch up later","He missed work due to cold","He is behind in his work","He is behind in his work"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: Hey, Flight 211 was canceled. What does the woman mean?","211 passengers called","Flight 211 was called off","Flight 211 was announced","The flight was delayed","Flight 211 was called off"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: He always puts things off until the last minute. What can be inferred about Sam?","He's in a hurry","He never finishes assignments early","He wants to be done before Friday","He'll complete it soon","He never finishes assignments early"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: I can't come up with a better one. What does the man think about Julie's idea?","He has better idea","It would be better if Julie came","He thinks Julie's idea is the best","Julie should come up with a better one","He thinks Julie's idea is the best"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: It takes two hands to clap. What does the woman mean?","She wants to learn how to clap","They need to cooperate","She needs to find a new partner","She can teach him how to clap","They need to cooperate"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: Oh, I'm terribly sorry. It completely slipped my mind. What does the woman mean?","She slipped on the way","She forgot all about it","She wouldn't mind going","She completed the appointment","She forgot all about it"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: Well, what is it? Cat got your tongue? What does the woman imply?","Stop talking to your cat","The man's tongue hurts","The man finds it hard to speak","Worried about the cat","The man finds it hard to speak"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: I know. I was present. What did the man say?","He was the speaker","He attended the meeting","He enjoyed the meeting","He received a present","He attended the meeting"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: Yes. but my camera was not working. What did you learn from the conversation?","The man took pictures","The man did not take any pictures","The man did not make any plans","The man worked on the trip","The man did not take any pictures"
"اللغة الإنجليزية","القواعد (Grammar)","","If I ………. you, I would tell him the truth.","am","was","were","be","were"
"اللغة الإنجليزية","القواعد (Grammar)","","If she ………. harder, she would have passed the exam.","study","studied","had studied","has studied","had studied"
"اللغة الإنجليزية","القواعد (Grammar)","","If it rains, we ………. at home.","stay","will stay","stayed","would stay","will stay"
"اللغة الإنجليزية","القواعد (Grammar)","","If I had a lot of money, I ………. a new car.","buy","will buy","would buy","bought","would buy"
"اللغة الإنجليزية","القواعد (Grammar)","","If they ………. early, they will catch the bus.","arrive","arrived","will arrive","had arrived","arrive"
"اللغة الإنجليزية","القواعد (Grammar)","","If he ………. the map, he wouldn't have got lost.","has","had","had had","has had","had had"
"اللغة الإنجليزية","القواعد (Grammar)","","If I were a bird, I ………. to you.","fly","will fly","would fly","flew","would fly"
"اللغة الإنجليزية","القواعد (Grammar)","","If you boil water, it ………. to steam.","turn","turns","turned","will turn","turns"
"اللغة الإنجليزية","القواعد (Grammar)","","If she ………. me, I would have gone to the party.","invites","invited","had invited","has invited","had invited"
"اللغة الإنجليزية","القواعد (Grammar)","","If we go to the park, we ………. a picnic.","have","will have","had","would have","will have"
"اللغة الإنجليزية","القواعد (Grammar)","","They ........... lunch before the guest arrived.","have eaten","had eaten","are eating","eat","had eaten"
"اللغة الإنجليزية","القواعد (Grammar)","","By the time I reached the station, the train ...........","leaves","has left","had left","left","had left"
"اللغة الإنجليزية","القواعد (Grammar)","","He ........... the movie before I recommended it.","sees","has seen","had seen","saw","had seen"
"اللغة الإنجليزية","القواعد (Grammar)","","We ........... our work when the power went out.","finish","have finished","had finished","were finishing","had finished"
"اللغة الإنجليزية","القواعد (Grammar)","","She ........... the book before she saw the movie.","reads","has read","had read","was reading","had read"
"اللغة الإنجليزية","القواعد (Grammar)","","I ........... him for years before we became friends.","know","have known","had known","knew","had known"
"اللغة الإنجليزية","القواعد (Grammar)","","The sun ........... before we woke up.","rises","has risen","had risen","rose","had risen"
"اللغة الإنجليزية","القواعد (Grammar)","","They ........... to Paris before they went to Rome.","travel","have traveled","had traveled","traveled","had traveled"
"اللغة الإنجليزية","القواعد (Grammar)","","He ........... his homework before his friends called.","does","has done","had done","did","had done"
"اللغة الإنجليزية","القواعد (Grammar)","","We ........... the game before it started raining.","win","have won","had won","won","had won"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: I'm not sure if I can make it. Man: Come on, it's a piece of cake! What does the man mean?","He wants some cake","The task is very easy","He is hungry","He will bring a cake","The task is very easy"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: Why is she so upset? Woman: She's feeling under the weather. What does the woman mean?","She is cold","She is sick or not feeling well","She likes the rain","She is outside","She is sick or not feeling well"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: Can you help me with this? Woman: Sorry, my hands are full right now. What does the woman mean?","She is carrying many things","She is very busy","She has big hands","She is wearing gloves","She is very busy"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: Did you hear about Mark? Man: Yeah, he's in hot water. What does the man mean?","Mark is swimming","Mark is in trouble","Mark is taking a bath","Mark is making tea","Mark is in trouble"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: I can't believe I failed. Woman: Don't cry over spilled milk. What does the woman mean?","She wants him to clean the floor","Don't worry about past mistakes that can't be changed","He should buy more milk","She is sad about the milk","Don't worry about past mistakes that can't be changed"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: Are you coming to the party? Man: I'll take a rain check. What does the man mean?","He is checking the weather","He will come another time","He wants to play in the rain","He is busy with the rain","He will come another time"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: How was the interview? Woman: It went like a dream. What does the woman mean?","She was sleeping","It went perfectly and easily","She had a nightmare","She forgot what happened","It went perfectly and easily"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: He's always pulling my leg. What does the woman mean?","He is hurting her","He is joking or teasing her","He is helping her walk","He is very strong","He is joking or teasing her"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: I'm so nervous about the presentation. Woman: Break a leg! What does the woman mean?","She wants him to get hurt","Good luck!","He should sit down","The presentation is bad","Good luck!"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: We need to finish this by tonight. Man: Let's call it a day. What does the man mean?","He wants to make a phone call","He wants to stop working for now","It is his birthday","He likes the daytime","He wants to stop working for now"
"اللغة الإنجليزية","القواعد (Grammar)","","I ………. go to the party if I am invited.","will","would","shall","am","will"
"اللغة الإنجليزية","القواعد (Grammar)","","If you ………. water to 100 degrees, it boils.","heat","heats","heated","will heat","heat"
"اللغة الإنجليزية","القواعد (Grammar)","","If he ………. more time, he would learn karate.","has","had","had had","is having","had"
"اللغة الإنجليزية","القواعد (Grammar)","","They ………. have arrived on time if the train hadn't been late.","will","would","shall","must","would"
"اللغة الإنجليزية","القواعد (Grammar)","","If I ………. you, I wouldn't do that.","am","was","were","be","were"
"اللغة الإنجليزية","القواعد (Grammar)","","If she ………. me, I will tell her.","ask","asks","asked","will ask","asks"
"اللغة الإنجليزية","القواعد (Grammar)","","I ………. have helped him if I had known he was in trouble.","will","would","can","may","would"
"اللغة الإنجليزية","القواعد (Grammar)","","If it ………. , we won't go out.","snow","snows","snowed","will snow","snows"
"اللغة الإنجليزية","القواعد (Grammar)","","If they ………. harder, they would succeed.","work","worked","had worked","working","worked"
"اللغة الإنجليزية","القواعد (Grammar)","","If I ………. the answer, I would tell you.","know","knew","known","knowing","knew"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: I can't find my keys. Man: Keep your chin up. What does the man mean?","Look at the ceiling","Stay positive and don't give up","Lift your head","Your keys are on your chin","Stay positive and don't give up"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: Is the project done? Woman: We're in the same boat. What does the woman mean?","They are on a ship","They are in the same situation","They like boats","The project is in the water","They are in the same situation"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: He really hit the nail on the head. What does the woman mean?","He is good at carpentry","He described exactly what was causing the situation","He hurt his hand","He is very strong","He described exactly what was causing the situation"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: Should we start now? Woman: The ball is in your court. What does the woman mean?","They are playing tennis","It's your responsibility to make the next move","The ball is lost","She wants to play","It's your responsibility to make the next move"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: I'm so busy. Man: Don't bite off more than you can chew. What does the woman mean?","Don't eat too much","Don't take on more responsibility than you can handle","She is hungry","She has a toothache","Don't take on more responsibility than you can handle"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: How was the test? Woman: It was a walk in the park. What does the woman mean?","She took the test outside","The test was very easy","She went for a walk","The test was about parks","The test was very easy"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: I'm so tired. Man: Let's hit the sack. What does the man mean?","He wants to play football","He wants to go to sleep","He is angry with the sack","He wants to work","He wants to go to sleep"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: He's the apple of her eye. What does the man mean?","She is eating an apple","He is her favorite person","He has an eye problem","She likes fruit","He is her favorite person"
"اللغة الإنجليزية","المحادثات (Conversations)","","Woman: I'm so nervous. Man: Just play it by ear. What does the man mean?","Listen carefully","Decide how to deal with a situation as it develops","Play some music","He is talking to her ear","Decide how to deal with a situation as it develops"
"اللغة الإنجليزية","المحادثات (Conversations)","","Man: I'm so sorry. Woman: No biggie. What does the woman mean?","It's not a big problem","She is very big","It's a huge mistake","She is not sorry","It's not a big problem"


"اللغة العربية","الإملاء","","سبعة أيام:","الأسبوع","الإسبوع","الأسبواع","الاسبوع","الأسبوع"
"اللغة العربية","النحو والصرف","","جمع كلمة (شاعرة):","شاعرات","شواعر","شعراء","شاعرون","شواعر"
"اللغة العربية","النحو والصرف","","في جملة (كتبتُ بالقلم)، نوع الباء هو:","موصولة","استعانة","مفردة","جر زائدة","استعانة"
"اللغة العربية","النحو والصرف","","كلمة (أجمل) في قول الشاعر (العراق أجمل) على وزن:","فعل","أفعل","فعال","يفعل","أفعل"
"اللغة العربية","النحو والصرف","","صفة حرف الهاء هي:","همس","هجاء","متحرك","جهر","همس"
"اللغة العربية","النحو والصرف","","العنصر الذي ليس له معنى بنفسه هو:","الاسم","الفعل","الحرف","الجملة","الحرف"
"اللغة العربية","معاني المفردات","","من أسماء الذهب في اللغة العربية:","صفوة","عقيق","التبر","اللجين","التبر"
"اللغة العربية","النحو والصرف","","مفرد كلمة (نحاة):","ينحت","نحت","نحوي","نحات","نحوي"
"اللغة العربية","معاني المفردات","","صوت الأرنب يسمى:","ضغيب","صرير","أنين","صهيل","ضغيب"
"اللغة العربية","النحو والصرف","","في الآية (وما كنت لديهم إذ يلقون أقلامهم)، أفادت (لدى):","ظرف زمان","ظرف مكان","مفعول به","حرف جر","ظرف مكان"
"اللغة العربية","معاني المفردات","","معنى (بعيدة مهوى القرط) في وصف الفتاة:","طويلة الشعر","طويلة الرقبة","بيضاء الوجه","جميلة العينين","طويلة الرقبة"
"اللغة العربية","النحو والصرف","","معنى وزن (تفعّل):","تكثير","مطاوعة","صيرورة","مشاركة","مطاوعة"
"اللغة العربية","النحو والصرف","","حرف جزم دخل على فعل معتل الآخر:","لن ندرس","لم يهتدِ","لم ينم","لم يقرأ","لم يهتدِ"
"اللغة العربية","الإملاء","","قول النبي ﷺ: (إنَّ .......... وأموالكم وأعراضكم حرام عليكم):","دماءكم","دمائكم","دماؤكم","الدماء","دماؤكم"
"اللغة العربية","الإملاء","","سيحل .......... الشتاء:","دفئ","دفؤ","دفء","دفءٌ","دفء"
"اللغة العربية","معاني المفردات","","كلمة تدل على الوقت:","غروب","دقيق","ساعة","لحظة","غروب"
"اللغة العربية","الإملاء","","سجلوا .......... في ورقة الامتحان:","أسماءكم","أسماؤكم","أسمائكم","الاسماء","أسماءكم"
"اللغة العربية","النحو والصرف","","كلمة (إبّان) تدل على:","المكان","الزمان","الحال","السبب","الزمان"
"اللغة العربية","النحو والصرف","","مؤنث كلمة (عطشان):","عطشانة","عطشى","عطاشى","معطشة","عطشى"
